1,244,102,186,218,-58,116
2,168,253,227,153,59,-100
3,246,105,299,367,53,262
1,229,98,111,393,-118,295
2,231,100,319,370,88,270
3,161,244,283,253,122,9
1,227,101,103,424,-124,323
2,230,102,317,422,87,320
3,155,270,275,271,120,1
1,238,89,240,116,2,27
2,237,88,342,364,105,276
3,172,230,290,230,118,0
1,242,93,247,101,5,8
2,244,95,368,374,124,279
3,176,218,312,220,136,2
1,284,145,210,386,-74,241
2,286,148,256,328,-30,180
3,235,316,317,314,82,-2
1,285,80,294,71,9,-9
2,290,86,230,246,-60,160
3,202,241,363,239,161,-2
1,167,47,91,423,-76,376
2,168,51,134,195,-34,144
3,127,211,239,210,112,-1
1,263,86,281,78,18,-8
2,264,85,285,357,21,272
3,192,265,307,267,115,2
1,369,114,355,148,-14,34
2,374,120,288,265,-86,145
3,296,272,424,269,128,-3
1,242,97,90,387,-152,290
2,245,99,380,353,135,254
3,162,247,274,175,112,-72
1,312,120,323,129,11,9
2,317,123,287,234,-30,111
3,242,269,381,267,139,-2
1,231,181,154,369,-77,188
2,233,185,254,376,21,191
3,185,301,250,293,65,-8
1,176,84,107,259,-69,175
2,177,86,111,215,-66,129
3,117,216,201,197,84,-19
1,277,137,262,222,-15,85
2,280,142,324,353,44,211
3,228,275,313,274,85,-1
1,335,191,234,405,-101,214
2,336,193,380,415,44,222
3,282,315,350,314,68,-1
1,356,9,308,128,-48,119
2,356,12,330,176,-26,164
3,295,148,384,145,89,-3
1,250,71,271,81,21,10
2,257,72,204,245,-53,173
3,178,239,287,256,109,17
1,312,210,313,207,1,-3
2,313,214,350,444,37,230
3,257,361,327,361,70,0
1,231,81,111,342,-120,261
2,235,81,312,317,77,236
3,181,197,266,199,85,2
1,235,79,172,268,-63,189
2,242,77,184,239,-58,162
3,181,237,314,242,133,5
1,256,82,264,131,8,49
2,257,86,180,242,-77,156
3,150,230,333,222,183,-8
1,235,160,213,192,-22,32
2,237,162,344,494,107,332
3,185,276,277,276,92,0
1,166,67,75,196,-91,129
2,165,71,99,195,-66,124
3,89,173,185,168,96,-5
1,382,51,239,268,-143,217
2,381,54,337,183,-44,129
3,302,165,399,165,97,0
1,231,262,126,465,-105,203
2,231,266,304,445,73,179
3,170,375,295,364,125,-11
1,239,80,131,228,-108,148
2,240,81,167,149,-73,68
3,172,168,226,177,54,9
1,253,117,243,151,-10,34
2,261,116,361,397,100,281
3,187,258,315,265,128,7
1,247,77,119,326,-128,249
2,245,84,317,371,72,287
3,159,236,285,237,126,1
1,242,108,149,286,-93,178
2,243,109,283,363,40,254
3,158,250,272,247,114,-3
1,221,64,227,60,6,-4
2,223,71,223,285,0,214
3,127,227,245,223,118,-4
1,260,75,215,170,-45,95
2,258,73,323,373,65,300
3,165,229,299,237,134,8
1,305,131,157,424,-148,293
2,306,133,293,313,-13,180
3,223,296,346,275,123,-21
1,350,156,156,403,-194,247
2,353,159,484,420,131,261
3,234,297,421,286,187,-11
1,338,169,355,284,17,115
2,338,166,454,351,116,185
3,343,277,437,277,94,0
1,250,84,263,71,13,-13
2,251,83,208,192,-43,109
3,208,192,293,194,85,2
1,285,108,148,403,-137,295
2,286,108,311,343,25,235
3,220,252,332,252,112,0
1,251,74,200,193,-51,119
2,255,75,225,150,-30,75
3,216,141,257,141,41,0
1,314,93,170,403,-144,310
2,314,98,306,308,-8,210
3,229,261,387,262,158,1
1,121,38,111,55,-10,17
2,124,40,107,152,-17,112
3,75,112,123,116,48,4
1,242,95,158,314,-84,219
2,246,96,207,241,-39,145
3,187,224,278,226,91,2
1,283,63,157,343,-126,280
2,285,66,226,243,-59,177
3,204,217,313,218,109,1
1,231,91,229,95,-2,4
2,231,92,266,364,35,272
3,157,209,263,231,106,22
1,372,126,372,122,0,-4
2,373,123,320,276,-53,153
3,308,261,390,262,82,1
1,286,214,298,311,12,97
2,288,216,270,330,-18,114
3,277,330,371,330,94,0
1,284,80,316,119,32,39
2,285,81,175,223,-110,142
3,173,209,328,209,155,0
1,241,257,158,451,-83,194
2,242,260,198,377,-44,117
3,198,377,391,342,193,-35
1,217,89,202,188,-15,99
2,215,87,172,203,-43,116
3,169,202,249,202,80,0
1,295,219,266,400,-29,181
2,299,219,292,362,-7,143
3,268,335,354,323,86,-12
1,323,63,267,171,-56,108
2,323,63,325,168,2,105
3,281,141,378,135,97,-6
1,401,192,327,276,-74,84
2,405,192,404,283,-1,91
3,358,243,437,241,79,-2
1,273,50,275,51,2,1
2,272,48,325,245,53,197
3,216,188,363,185,147,-3
1,272,51,209,231,-63,180
2,272,46,326,230,54,184
3,216,190,342,185,126,-5
1,268,273,179,442,-89,169
2,273,276,244,416,-29,140
3,212,368,293,358,81,-10
1,131,54,62,172,-69,118
2,129,60,80,119,-49,59
3,83,123,129,122,46,-1
1,117,324,122,328,5,4
2,102,319,144,440,42,121
3,104,405,152,400,48,-5
1,244,49,180,169,-64,120
2,244,49,202,158,-42,109
3,185,158,300,144,115,-14
1,153,68,155,78,2,10
2,153,68,216,207,63,139
3,108,157,245,152,137,-5
1,246,155,238,193,-8,38
2,248,156,269,336,21,180
3,197,282,351,269,154,-13
1,367,285,406,413,39,128
2,406,425,367,317,-39,-108
3,318,391,388,391,70,0
1,396,62,409,61,13,-1
2,404,59,424,180,20,121
3,350,114,423,126,73,12
1,239,74,136,262,-103,188
2,240,77,253,291,13,214
3,172,182,240,168,68,-14
1,312,267,274,374,-38,107
2,314,268,283,339,-31,71
3,290,339,261,90,-29,-249
1,260,90,182,358,-78,268
2,263,93,229,268,-34,175
3,216,258,323,250,107,-8
1,225,85,224,85,-1,0
2,224,85,316,365,92,280
3,196,254,301,269,105,15
1,278,189,281,188,3,-1
2,281,188,274,299,-7,111
3,271,299,320,298,49,-1
1,385,109,388,100,3,-9
2,385,108,357,236,-28,128
3,324,189,389,189,65,0
1,111,92,90,134,-21,42
2,109,87,86,236,-23,149
3,92,235,114,248,22,13
1,172,61,177,70,5,9
2,175,68,172,167,-3,99
3,168,166,268,134,100,-32
1,284,90,209,356,-75,266
2,285,88,340,359,55,271
3,244,220,321,220,77,0
1,260,86,247,116,-13,30
2,262,85,360,365,98,280
